Topic,Count,Name,Representation,Representative_Docs
-1,930,-1_botanico_jardin_protejan_deberian,"['botanico', 'jardin', 'protejan', 'deberian', 'galeria', 'respeta', 'intervencion', 'firma', 'responsable', 'favor']","['firma pide protejan toda posible obra jardin botanico', 'firma pide protejan toda posible obra jardin botanico', 'firma pide protejan toda posible obra jardin botanico']"
0,91,0_calles_calle_avenidas_avenida,"['calles', 'calle', 'avenidas', 'avenida', 'interseccion', 'barrio', 'ciudad', 'municipio', 'paseo', 'lugar']","['pare indica calle lugano pref agosto deberia reves calles gralmente pref centro', 'calles calles asuncion crater octubre mcal lopez subida raudal', 'avenidas dobles preferenciales despues vienen calles unico ultimo calles doble']"
1,83,1_upei_vale_pasa_mira,"['upei', 'vale', 'pasa', 'mira', 'parecido', 'deci', 'hace', 'loma', 'encima', 'listoma']","['upei', 'upei', 'upei']"
2,79,2_dominguez_eduardo_antequera_loma,"['dominguez', 'eduardo', 'antequera', 'loma', 'semaforo', 'companeros', 'eusebio', 'grutter', 'itaipu', 'coimea']","['semaforo eusebio ayala charles gaulle ayuda', 'eusebio ayala charles gaulle semaforo', 'frente jokey club avda eusebio ayala intransitable recorre hacia pereira ruiz diaz mejor intendente']"
3,74,3_propagandas_propaganda_politicos_politico,"['propagandas', 'propaganda', 'politicos', 'politico', 'electoral', 'politica', 'populista', 'votando', 'publicidad', 'votos']","['ahora hugo puede organizar artistas quieren pintar propaganda electoral ilegal', 'propaganda electoral avda mcal lopez', 'propaganda electoral plazo electoral avda chaco acceso']"
4,70,4_camioneros_camiones_camionetas_camion,"['camioneros', 'camiones', 'camionetas', 'camion', 'camioneta', 'vehiculos', 'choferes', 'chofer', 'vehiculo', 'autos']","['dejan circulen tipo camiones tunel segunda pasa vamosna mario camiones respetan', 'deberian prohibir circular camiones gran porte toda zona metropolitana', 'choferes profesionales manejan camiones analfabetos viales toda velocidad total camion']"
5,62,5_mercado_mercados_cobertura_marketing,"['mercado', 'mercados', 'cobertura', 'marketing', 'inversionistas', 'publico', 'vendedores', 'comerciantes', 'prensa', 'ofrece']","['cobertura predio mercado municipal abasto', 'cobertura mercado abasto', 'cobertura mercado abasto']"
6,59,6_semaforos_luces_caos_martin,"['semaforos', 'luces', 'caos', 'martin', 'intermitentes', 'campana', 'nocturnos', 'lentes', 'fulgencio', 'lillo']","['urgente semaforo lillo martin caos', 'martin lillo semaforo funciona hora pico solo agente', 'funciona semaforo lillo martin caos']"
7,50,7_trabajar_trabajando_trabajan_trabaja,"['trabajar', 'trabajando', 'trabajan', 'trabaja', 'trabajo', 'trabajadora', 'trabajos', 'trabajadores', 'labura', 'obreros']","['trabajando', 'seguimos trabajando junto intendente', 'continuamos trabajando junto bienestar trabajadores abasto']"
8,49,8_saludos_tardes_gracias_hola,"['saludos', 'tardes', 'gracias', 'hola', 'agradecidos', 'indicarnos', 'dejamos', 'correspondiente', 'salimos', 'locales']","['buenas tardes gracias indicarnos brevedad procederemos retiro residuos saludos', 'buenas tardes gracias indicarnos brevedad procedera retiro saludos cordiales', 'buenas tardes victor gracias escribirnos brevedad posible companeros lugar saludos cordiales']"
9,45,9_educativas_educacion_colegios_escolar,"['educativas', 'educacion', 'colegios', 'escolar', 'curricular', 'colegio', 'escuela', 'ensenando', 'estudio', 'concientizacion']","['felicitaciones comuna necesaria educacion vial', 'intendente asuncion visita obras futuro parque educacion vial', 'educacion vial primordial']"
10,44,10_limpieza_limpiando_limpiar_basuras,"['limpieza', 'limpiando', 'limpiar', 'basuras', 'limpia', 'basura', 'residuos', 'funcionarios', 'remocion', 'contamina']","['municipalidad asuncion favor recojan basuras inemba lucen cosas descuidan limpieza', 'bueno limpia ciudad cada cuidamos basuras nunca suficiente ninguna limpieza', 'trabajo limpieza retiro basuras inmediaciones cancha renda penitenciaria tacumbu']"
11,43,11_ordenes_comanda_pedido_ordenanza,"['ordenes', 'comanda', 'pedido', 'ordenanza', 'solicitado', 'debe', 'apropiada', 'hacer', 'comunicado', 'acuerdo']","['buen comunicamos vialidad ordenes', 'ordenes', 'ordenes']"
12,42,12_brasil_brasilia_peru_venezuela,"['brasil', 'brasilia', 'peru', 'venezuela', 'argentino', 'argentinos', 'argentina', 'espana', 'humaita', 'lujo']","['peru mcal lopez siempre', 'peru mcal lopez', 'cobertura artigas brasilia']"
13,41,13_denunciar_denuncias_denuncia_reportando,"['denunciar', 'denuncias', 'denuncia', 'reportando', 'denuncian', 'procesamos', 'expediente', 'antecedentes', 'investigar', 'fumigacion']","['procesamos denuncia', 'procesamos denuncia', 'procesamos denuncia']"
14,37,14_funcionarios_jefe_director_capo,"['funcionarios', 'jefe', 'director', 'capo', 'renuncia', 'empleados', 'renuncio', 'comandante', 'guardia', 'junta']","['ahora renuncia cargo director mercado abasto', 'funcionarios concejal', 'responsables intendente director abasto']"
15,34,15_jajajajajajajajaa_jajajajajja_jajajajajajajajajaja_jajajajajajaja,"['jajajajajajajajaa', 'jajajajajja', 'jajajajajajajajajaja', 'jajajajajajaja', 'jajajajajajaj', 'jjjajjjjjajaajaaajaajja', 'jajajajajaja', 'jajaja', 'jajajajaja', 'jajajaja']","['jajajajajaja', 'jajajajajaja jajajajajaja', 'naape osaingo mechi jajajajaja tavype enohe felicitado jajajajajaja']"
16,34,16_multas_sanciones_multa_sancion,"['multas', 'sanciones', 'multa', 'sancion', 'pagar', 'multarlo', 'juridicamente', 'impuesto', 'reglas', 'prevencion']","['mejorar ayudarnos deben firmes aplicar multas correspondientes infractores medida impopular efectiva', 'deberian haber multas economicas sanciones algun tipo incumplen tiempos establecidos aplicarlas', 'sugiero apliquen multas correspondientes ademas quienes ensucian costanera multas podrian hacer mejoras']"
17,33,17_bien_bueno_buena_acuerdo,"['bien', 'bueno', 'buena', 'acuerdo', 'seguro', 'correcto', '', '', '', '']","['bien', 'bien', 'bien']"
18,30,18_estacionamiento_estacionamientos_estacionar_estacionan,"['estacionamiento', 'estacionamientos', 'estacionar', 'estacionan', 'parking', 'estacionen', 'estacionado', 'estaciona', 'estaciono', 'estacionados']","['puede estacionar doble fila quesada imposible circular', 'onda kostianovsky hacia donde puedo estacionar ambos lados carril', 'ocupar espacio estacionamiento falta lugar estacionar']"
19,29,19_gracias_aporte_thanks_mismo,"['gracias', 'aporte', 'thanks', 'mismo', '', '', '', '', '', '']","['gracias', 'gracias', 'gracias']"
20,27,20_sobrepasada_emparejar_inutiles_duro,"['sobrepasada', 'emparejar', 'inutiles', 'duro', 'pyhare', 'silva', 'prendidos', 'porqueria', 'faroles', 'cueste']","['mira pense podia insoportable arturo rubin alvaro haciendo trabajo encomiable', 'ahora falta energia ndaha foco problema hina pyhare casi cocine pieza', 'nose mofas intedente obra hace tiempo lleva culminar paso muchisimo tiempo verguenza ajena']"
21,27,21_felicitaciones_congratulaciones_felicidades_aplausos,"['felicitaciones', 'congratulaciones', 'felicidades', 'aplausos', 'aplaudo', 'aplaudir', 'gracias', 'felices', 'excelente', 'sonrisa']","['felicitaciones intendente siga trabajando asuncion', 'felicitaciones equipo trabajando mucha fuerza', 'felicitaciones']"
22,27,22_quejarte_denunciando_dejemoslo_quejando,"['quejarte', 'denunciando', 'dejemoslo', 'quejando', 'olvide', 'lamentablemente', 'dije', 'ignorar', 'escandalo', 'disculpen']","['olvide mira kilombo arman sola cosa pueden empezar terminar patetico', 'consecuencia cayo ustedes quitan comunicado dejense joder laburen carajo', 'disculpen alguna respuesta positiva varios colegas abogados preguntan unico decidio menos escribir']"
23,27,23_costanera_playas_beach_playa,"['costanera', 'playas', 'beach', 'playa', 'mariscal', 'marinnoni', 'puerto', 'zona', 'cobertura', 'centro']","['cobertura zona costanera asuncion', 'cobertura costanera asuncion', 'cobertura costanera asuncion']"
24,26,24_agradecemos_agradecidos_gracias_denuncia,"['agradecemos', 'agradecidos', 'gracias', 'denuncia', 'realizado', 'reclamo', 'dato', 'procesamos', 'retorno', '']","['agradecemos dato procesamos denuncia', 'agradecemos dato procesamos denuncia', 'agradecemos dato procesamos denuncia']"
25,24,25_meses_semanas_anos_semana,"['meses', 'semanas', 'anos', 'semana', 'momentos', 'epoca', 'aplazado', 'hora', 'pasaron', 'veces']","['pasa recolector casi semana pasa vera casi denis', 'hora hace meses terminen favor', 'zona primer pdte julio correa recolector pasa hace semana']"
26,21,26_retweeted_twittea_tuiteando_tuit,"['retweeted', 'twittea', 'tuiteando', 'tuit', 'tweets', 'twitter', 'tuitear', 'tweet', 'tuitstar', 'pusieron']","['retweeted muni asuncion domingos costanera vuelve deportiva esperamos', 'retweeted muni asuncion sabado hacemos exposicion distintas', 'retweeted muni asuncion buen ejemplo pequenos demostremos']"
27,19,27_pasarme_vamos_sigue_hazme,"['pasarme', 'vamos', 'sigue', 'hazme', 'mano', 'andamos', 'multarle', 'enviale', 'hacele', 'pido']","['cansado discutir cuidacoches corazon pido hagan', 'ojala escuchado pedido reclamo gran pedrito garcia basket necesita', 'casa andamos dudo plata salio cosas peroo parece llego destino']"
28,18,28_perritos_animales_perros_perro,"['perritos', 'animales', 'perros', 'perro', 'bestias', 'canje', 'veterinaria', 'simios', 'criatura', 'camboriu']","['todas esquinas largo jodidas perros entran clasificando', 'camilo recalde autos motos pasan locos atropellando incluyendole perro solucionen favor', 'atropello perro camilo recalde vendria bien multa veloc paso pudo persona']"
29,18,29_sacramento_catolicos_iglesia_catolica,"['sacramento', 'catolicos', 'iglesia', 'catolica', 'feligresia', 'vera', 'franjas', 'vidrios', 'parada', 'pase']","['desastre trafico espana sacramento mcal lopez todavia llueve', 'publicidad gran porte espana sacramento', 'pase avenida espana sacramento']"
30,18,30_buen_bien_hacia_quedranto,"['buen', 'bien', 'hacia', 'quedranto', 'lado', 'acompanante', 'lugar', 'excelente', 'favor', 'donde']","['buen luis cual direccion', 'buen direccion favor', 'buen cual direccion']"
31,17,31_sugerencia_recomendado_recomiendo_recomendacion,"['sugerencia', 'recomendado', 'recomiendo', 'recomendacion', 'propuesta', 'recomendaciones', 'sumarios', 'comunicamos', 'tema', 'gracias']","['canalizamos sugerencia', 'registramos sugerencia', 'registramos sugerencia']"
32,17,32_brillante_espectacular_hermoso_lindos,"['brillante', 'espectacular', 'hermoso', 'lindos', 'hermosa', 'sensacional', 'maravillas', 'bello', 'saludo', 'risa']","['brillante', 'brillante', 'brillante']"
33,17,33_paraguayos_paraguaya_paraguay_paraguayo,"['paraguayos', 'paraguaya', 'paraguay', 'paraguayo', 'colombia', 'santiago', 'carlos', 'buenisimo', 'comuneros', 'garcia']","['bueeeeenoooo paraguay', 'show charly garcia apto quinceaneras paraguay stroessner', 'enorme recuerdo charly garcia paraguay']"
34,17,34_foto_fotos_fotomultas_imagenes,"['foto', 'fotos', 'fotomultas', 'imagenes', 'caminera', 'calle', 'deja', 'envia', 'lado', 'acompanante']","['foto porfa', 'correccion foto', 'gusta foto john lennon vecinos envia foto calle caso']"
35,17,35_incendios_incendio_fuego_humo,"['incendios', 'incendio', 'fuego', 'humo', 'quemandose', 'bomberos', 'flamables', 'humeando', 'respira', 'olor']","['habilitado nuevamente cruce azara vera tras haberse controlado principio incendio', 'reubicaron costado humo insoportable vean apague fuego favor bomberos dicen', 'sigue quemandose bloque expide humo toxico reubicados costado bloque puede olor']"
36,17,36_agradecio_agradecemos_gracias_excelente,"['agradecio', 'agradecemos', 'gracias', 'excelente', 'gusto', 'correspondiente', 'ustedes', 'genial', 'dato', 'visitar']","['muchas gracias', 'muchas gracias', 'muchas gracias']"
37,17,37_agua_aguas_alcantarillados_hidrantes,"['agua', 'aguas', 'alcantarillados', 'hidrantes', 'arroyo', 'hidricos', 'inundaciones', 'litros', 'limpieza', 'potable']","['mitad privada mitad encargados proveernos agua perfectas condiciones', 'essap entidad privada trabaja conjuntamente municipio asuncion encargado zona central agua potable', 'plantearias tema canos rotos asuncion llegas agua competencia']"
38,16,38_arte_cultura_cultural_culturales,"['arte', 'cultura', 'cultural', 'culturales', 'patrimonio', 'artista', 'obras', 'importantisimo', 'actividades', 'construir']","['asualtavoz busca identificar nuevas expresiones culturales juveniles esperamos rivera', 'buena iniciativa jovenes mejor manera arte cultura', 'oreko tiempo laburar temas emergencia dedicarle tiempo arte bien mario']"
39,15,39_periodistas_periodista_denunciando_publica,"['periodistas', 'periodista', 'denunciando', 'publica', 'medios', 'defensores', 'publico', 'medias', 'prensa', 'publicidaf']","['referi articulo uhora publico probada calumnia algun odio politico personal periodistas', 'cobertura defensores chaco lopez', 'cobertura defensores chaco entrada']"
40,15,40_ciudadano_ciudadana_ciudadanos_ciudadania,"['ciudadano', 'ciudadana', 'ciudadanos', 'ciudadania', 'publican', 'publicas', 'infracciones', 'denuncia', 'informando', 'deberia']","['buenas noches derivamos puede registrar denuncia atencion ciudadano', 'buen deberia aprender darle mejor utilidad medios servicio ciudadano mantener respeto hacia demas', 'buen mercedes puede registrar denuncia atencion ciudadano']"
41,15,41_ciudad_urbanista_aldea_municipalidad,"['ciudad', 'urbanista', 'aldea', 'municipalidad', 'edificios', 'civilidad', 'convertirse', 'construir', 'gente', 'vivis']","['alguna asuncion dejara aldea convertirse ciudad', 'aldea alguna ciudad depende gente cambiar', 'intendente octubre ciudad asuncion parece ciudad abandonada hagase cargo retirese']"
42,14,42_sonido_sonora_tambores_musica,"['sonido', 'sonora', 'tambores', 'musica', 'tono', 'escuchar', 'escucha', 'radios', 'mudo', 'vinilo']","['controlan polucion sonora quinta reubicados usan media calzada', 'podremos potentes equipos sonido escuchar reggeton volumen', 'sajonia anos llevamos denunciando seccional polucion sonora nunca respuesta']"
43,14,43_impuestos_pagar_pago_pagando,"['impuestos', 'pagar', 'pago', 'pagando', 'gastos', 'multa', 'dinero', 'gastar', 'decime', 'impresentable']","['microcentro asuncion sigo pagando impuestos cobren cuidacoches pagar municipalidad', 'cptan victoriano bueno cuadras impuestos tasas patentes inadmisible', 'retweeted diogo cptan victoriano bueno cuadras impuestos tasas']"
44,14,44_tunel_transito_accidente_accidentes,"['tunel', 'transito', 'accidente', 'accidentes', 'vias', 'bloqueo', 'camiones', 'despeje', 'danos', 'arreglen']","['pasada media noche culmino despeje limpieza lugar accidente ocurrido tunel semidei', 'bloqueo tunel semidei accidente transito presencia asistencia lugar', 'sigue cobertura zona accidente proceso trabajos despeje tunel semidei']"
45,13,45_meteorologico_tormentas_llueve_araganes,"['meteorologico', 'tormentas', 'llueve', 'araganes', 'lluvias', 'lluvia', 'viento', 'aviso', 'intensas', 'intensificandose']","['atencion esperan lluvias intensas rafagas viento podrian superar caida rayos granizos', 'aviso meteorologico sistema tormentas intensificandose llegando hacia gran asuncion fuente', 'aviso meteorologico emitido lluvias tormentas electricas esperamos jornada fuente']"
46,13,46_excelente_genial_fantastico_genio,"['excelente', 'genial', 'fantastico', 'genio', 'mucha', 'totalmente', '', '', '', '']","['excelente', 'excelente', 'excelente']"
47,13,47_cerveza_cervera_oluo_bebederos,"['cerveza', 'cervera', 'oluo', 'bebederos', 'copas', 'alcohol', 'calle', 'esquina', 'estacion', 'campos']","['esquina charles gaulle campos cervera paran autos pasan cartel existiera', 'favor gaulle campos cervera bajan', 'entiendo pare charles gaulle unico derecha casi campos cervera']"
48,13,48_aerolineas_aviadores_vehiculos_estacionan,"['aerolineas', 'aviadores', 'vehiculos', 'estacionan', 'estacionen', 'estacionados', 'transito', 'autos', 'caos', 'despeje']","['despeje calzada zona lomiteria aviadores chaco martin', 'doble fila autos estacionados aviadores', 'aviadores chaco stma trinidad estacionan doble triple fila vehiculos descenso estudiantes colegio iturbe hacen']"
49,13,49_puta_putadas_porqueria_farsante,"['puta', 'putadas', 'porqueria', 'farsante', 'idiota', 'mierda', 'exagerado', 'falsos', 'dieron', 'serio']","['puta moves saquen padres culo pesado', 'podes hijo puta anda jode abuela inmaduro', 'apuradas poca cisa hacerlo casi exagerado debe dieron obra empresa fantasma mario cuenta']"
50,12,50_policia_policial_police_municipal,"['policia', 'policial', 'police', 'municipal', 'taxistas', 'nacional', 'municipalidad', 'oficio', 'ordenes', 'siguen']","['buen pedido policia nacional actue oficio', 'buen victoria comunicamos policia nacional ordenes', 'buen contacto policia nacional procedan oficio ordenes']"
51,11,51_nadie_nunca_hablar_serio,"['nadie', 'nunca', 'hablar', 'serio', 'gracias', 'saludos', 'permite', 'segundos', 'todas', 'llega']","['nunca abran audio video segundos', 'nadie llega campanas multas educan serio', 'nadie criticar mario ferreiro billetes permite hablar fuerte']"
52,11,52_santos_santa_baches_cuadra,"['santos', 'santa', 'baches', 'cuadra', 'adornos', 'teresa', 'cruzo', 'artigas', 'refugios', 'teodoro']","['cobertura semaforo servicio gral santos herminio gimenez', 'cobertura artigas santos', 'cobertura artigas santos']"
53,11,53_lynch_madame_presidente_hecho,"['lynch', 'madame', 'presidente', 'hecho', 'buzo', 'amor', 'caos', 'bertoni', 'rosa', 'primer']","['accidente madame lynch primer presidente', 'cobertura madame lynch primer presidente', 'cobertura madame lynch primer presidente']"
54,11,54_uruguaya_espana_plazas_plaza,"['uruguaya', 'espana', 'plazas', 'plaza', 'avenida', 'lugar', 'campesino', 'ciudad', 'municipalidad', 'municipales']","['supone enrejo plaza uruguaya cuales ordenanzas municipales', 'enrejo plaza uruguaya permitiria nadie acampe lugar', 'porque plaza uruguaya enrejo preservar justo empezaba ponerse linda']"
55,10,55_izquierda_giro_lados_eliminen,"['izquierda', 'giro', 'lados', 'eliminen', 'hacia', 'fernando', 'girar', 'elimine', 'marcaron', 'eliminacion']","['mario favooorrr hace direccion sugiero elimine giro izquierda martin', 'favor eliminen giro izquierda fernando mora taruma', 'eliminacion giro izquierda avda fernando mora kubitschek']"
